0;0;
0.5;2;
1;3;
1.5;4;
2;5;
1.5;6;
2;7;
2.5;8;
3;9;
3.5;10;
4;11;
4.5;12;
5;13;
5.5;14;
6;15;
6.5;16;
7;17;
7.5;19;
8;20;
7.5;22;
7;23;
7.5;24;
8;25;
8.5;26;
9;27;
9.5;28;
10;30;
9.5;32;
9;35;
8.5;36;
8;37;
7.5;38;
7;39;
6.5;40;
6;41;
5.5;42;
5;43;
4.5;44;
4;47;
3.5;48;
3;49;
2.5;50;
2;51;
1.5;52;
1;53;
0.5;55;
0;75;
-0.5;76;
-1;78;
-1.5;87;
-1.5;100;
